Platform,SPN,User Display Name,Display Types,TIME,Event,Config,Dependency,Access Level (Wintrac),Unit of Measurement,Event log when alarm code(s) set,Event Log When Parameter Changes?,Auto Log at Power ON?,Auto Log at Noon (12:05 PM)?,Additional Reqs,Documentation Notes,Access Level (WinTrac)
Railblazer,0x05CC,Electric Motor Rotation,Table Only,FALSE,1,0,No Dependency,Technician,,"10, 21, 22, 23, 24, 26, 32, 48, 273, 274, 276, 277, 526, 555",FALSE,FALSE,FALSE,PC 27th May 2021 - new SPN to be logged as event log to support HPE req. ID 5236 (421 - Electric Motor Rotation - Logging/Reporting),"Positive (0)   - represents counter clockwise rotation (default setting)
Negative (1) - represents clockwise rotation",
Navigator,0x05CC,Electric Motor Rotation,Table Only,FALSE,1,0,No Dependency,,,"10, 21, 22, 23, 24, 26, 32, 48, 273, 274, 276, 277, 526, 555",FALSE,FALSE,FALSE,PC 27th May 2021 - new SPN to be logged as event log to support HPE req. ID 5236 (421 - Electric Motor Rotation - Logging/Reporting),"Positive (0)   - represents counter clockwise rotation (default setting)
Negative (1) - represents clockwise rotation",Technician
Nebula-Galaxy,0x05D1,Combo Device Control DC/AC Converter,Table Only,FALSE,1,0,No Dependency,Technician,,579,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x05D2,Combo Device DC/AC Requested Speed,Table and Graph,TRUE,0,0,No Dependency,Technician,,579,FALSE,FALSE,FALSE,Compressor Speed,,
Nebula-Galaxy,0x05D3,Combo Device System Enable,Table Only,FALSE,1,0,No Dependency,Technician,,265,FALSE,FALSE,FALSE,MobileSystemEnable`,,
Nebula-Galaxy,0x05D6,Combo Device Control DC/DC Converter,Table Only,FALSE,1,0,No Dependency,Technician,,265,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x05D7,Combo Device Low Voltage Setpoint,Table and Graph,TRUE,0,0,No Dependency,Technician,,265,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x05D9,Combo Device Communitcation Status,Table Only,FALSE,1,0,No Dependency,Technician,,265,FALSE,FALSE,FALSE,DCDCCommsStatus,,
Nebula-Galaxy,0x05DA,Combo Device Inverter Status,Table Only,FALSE,1,0,No Dependency,Technician,,579,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x05DB,Combo Device Inverter Ready,Table Only,FALSE,1,0,No Dependency,Technician,,579,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x05DC,Combo Device DCDC Error Status,Table Only,FALSE,1,0,No Dependency,Technician,,265,FALSE,FALSE,FALSE,DCDCErrorStatus,,
Nebula-Galaxy,0x05DD,Combo Device DC/DC Current,Table and Graph,TRUE,0,0,No Dependency,Technician,Currents (A),265,FALSE,FALSE,FALSE,DCDCCurrent,,
Nebula-Galaxy,0x05DE,Combo Device DC/DC Power,Table and Graph,TRUE,0,0,No Dependency,Technician,,265,FALSE,FALSE,FALSE,DCDCPower,,
Nebula-Galaxy,0x05DF,Combo Device DC/AC Temp,Table and Graph,TRUE,0,0,No Dependency,Technician,Temperatures (◦C/◦F ) MT Zone 1,579,FALSE,FALSE,FALSE,InverterTemp,,
Nebula-Galaxy,0x05E0,Combo Device DC/DC Voltage,Table and Graph,TRUE,0,0,No Dependency,Technician,Voltage (V),265,FALSE,FALSE,FALSE,DCDCVoltage,,
Nebula-Galaxy,0x05E1,Combo Device DC/AC Inverter Status,Table Only,FALSE,1,0,No Dependency,Technician,,579,FALSE,FALSE,FALSE,InverterStatus,,
